INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Mildred Elley-New York Campus,NY,NULL,NULL,23300,590
Mildred Elley-Pittsfield Campus,MA,NULL,NULL,23300,209
Miles College,AL,NULL,NULL,25700,1778
Miles Community College,MT,NULL,6517,30100,345
Millennia Atlantic University,FL,NULL,NULL,NULL,95
Millennium Training Institute,MA,NULL,NULL,NULL,117
Miller-Motte College-Cary,NC,NULL,NULL,19200,316
Miller-Motte College-Fayetteville,NC,NULL,NULL,19200,741
Miller-Motte College-Greenville,NC,NULL,NULL,22500,353
Miller-Motte College-Jacksonville,NC,NULL,NULL,19200,496
Miller-Motte College-Raleigh,NC,NULL,NULL,19200,375
Miller-Motte College-Wilmington,NC,NULL,NULL,22500,3463
Miller-Motte Technical College-Augusta,GA,NULL,NULL,22500,466
Miller-Motte Technical College-Charleston,SC,NULL,NULL,22500,635
Miller-Motte Technical College-Chattanooga,TN,NULL,NULL,22500,348
Miller-Motte Technical College-Clarksville,TN,NULL,NULL,22500,404
Miller-Motte Technical College-Columbus,GA,NULL,NULL,22500,487
Miller-Motte Technical College-Conway,SC,NULL,NULL,19200,622
Miller-Motte Technical College-Gulfport,MS,NULL,NULL,26700,160
Miller-Motte Technical College-Lynchburg,VA,NULL,NULL,19200,409
Miller-Motte Technical College-Macon,GA,NULL,NULL,26700,363
Miller-Motte Technical College-Madison,TN,NULL,NULL,22500,319
Miller-Motte Technical College-Roanoke,VA,NULL,NULL,NULL,294
Millersville University of Pennsylvania,PA,0.6871,16438,42900,7070
Milligan College,TN,0.6241,NULL,35700,880
Millikin University,IL,0.6273,NULL,42000,2082
Mills College,CA,0.7614,NULL,39000,909
Millsaps College,MS,0.5718,NULL,45600,762
Milwaukee Area Technical College,WI,NULL,9652,30600,14991
Milwaukee Career College,WI,0.8824,NULL,PrivacySuppressed,92
Milwaukee Institute of Art & Design,WI,0.5908,NULL,30700,622
Milwaukee School of Engineering,WI,0.6865,NULL,65800,2592
Mims Classic Beauty College,TX,NULL,NULL,16300,41
Mind Body Institute,TN,NULL,NULL,NULL,37
Mineral Area College,MO,NULL,8801,26100,3778
Mineral County Vocational Technical Center,WV,0.4583,658,PrivacySuppressed,20
Minneapolis Business College,MN,NULL,NULL,35700,231
Minneapolis College of Art and Design,MN,0.6441,NULL,33900,658
Minneapolis Community and Technical College,MN,NULL,14188,31400,8220
Minneapolis Media Institute,MN,NULL,NULL,28300,143
Minnesota School of Business-Blaine,MN,NULL,NULL,32400,231
Minnesota School of Business-Brooklyn Center,MN,NULL,NULL,32400,106
Minnesota School of Business-Elk River,MN,NULL,NULL,32400,231
Minnesota School of Business-Lakeville,MN,NULL,NULL,32400,188
Minnesota School of Business-Moorhead,MN,NULL,NULL,32400,133
Minnesota School of Business-Plymouth,MN,NULL,NULL,32400,127
Minnesota School of Business-Richfield,MN,NULL,NULL,32400,673
Minnesota School of Business-Rochester,MN,NULL,NULL,32400,177
Minnesota School of Business-Waite Park,MN,NULL,NULL,32400,214
Minnesota School of Cosmetology-Plymouth Campus,MN,NULL,NULL,PrivacySuppressed,76
Minnesota School of Cosmetology-Woodbury Campus,MN,NULL,NULL,PrivacySuppressed,122
Minnesota State College-SE Technical-Red Wing,MN,NULL,NULL,31400,NULL
Minnesota State College-Southeast Technical,MN,NULL,15089,31400,1660
Minnesota State Community and Technical College,MN,NULL,11684,33100,4693
Minnesota State University Moorhead,MN,0.8419,15183,36500,5496
Minnesota State University-Mankato,MN,0.6658,13898,42300,12332
Minnesota West Community and Technical College,MN,NULL,11126,32300,1977
Minot State University,ND,0.5768,10567,37200,2570
MiraCosta College,CA,NULL,5434,28100,13855
Mirrer Yeshiva Cent Institute,NY,0.9556,NULL,12100,132
Misericordia University,PA,0.7146,NULL,48100,2407
Mission College,CA,NULL,7212,31600,6737
Mississippi College,MS,0.6304,NULL,37600,2942
Mississippi College of Beauty Culture,MS,NULL,NULL,PrivacySuppressed,61
Mississippi Delta Community College,MS,NULL,3061,23400,2352
Mississippi Gulf Coast Community College,MS,NULL,8327,27200,9129
Mississippi Institute of Aesthetics Nails & Cosmetology,MS,NULL,NULL,NULL,85
Mississippi State University,MS,0.7102,15902,40100,15800
Mississippi University for Women,MS,0.9361,9810,33600,2316
Mississippi Valley State University,MS,0.1633,6547,22600,1813
Missouri Baptist University,MO,0.6023,NULL,33100,1706
Missouri College,MO,NULL,NULL,21600,584
Missouri College of Cosmetology North,MO,NULL,NULL,13800,78
Missouri School of Barbering & Hairstyling-St. Louis,MO,NULL,NULL,PrivacySuppressed,19
Missouri Southern State University,MO,0.96,8314,33000,5076
Missouri State University-Springfield,MO,0.8503,14866,36800,16177
Missouri State University-West Plains,MO,NULL,11962,25600,1571
Missouri Tech,MO,1,NULL,32700,105
Missouri University of Science and Technology,MO,0.8585,14874,64100,6418
Missouri Valley College,MO,0.4378,NULL,34700,1383
Missouri Western State University,MO,NULL,10367,32600,4783
Mitchell College,CT,0.7004,NULL,30400,710
Mitchell Community College,NC,NULL,8284,24800,2453
Mitchell Technical Institute,SD,NULL,10551,37000,1111
Mitchell's Hair Styling Academy-Raleigh,NC,NULL,NULL,17400,72
Mitchells Hairstyling Academy-Goldsboro,NC,NULL,NULL,PrivacySuppressed,14
Mitchells Hairstyling Academy-Wilson,NC,NULL,NULL,17400,27
Mitsu Sato Hair Academy,KS,NULL,NULL,NULL,54
MJ's Barber Academy,TX,NULL,NULL,NULL,15
MJ's Beauty Academy Inc,TX,NULL,NULL,14500,60
Moberly Area Community College,MO,NULL,7661,27800,4167
Model College of Hair Design,MN,NULL,NULL,19300,92
Modern Beauty Academy,CA,NULL,NULL,16400,36
Modern Beauty School Inc,MT,NULL,NULL,PrivacySuppressed,46
Modern Hairstyling Institute-Arecibo,PR,0.8889,NULL,10700,43
Modern Hairstyling Institute-Bayamon,PR,1,NULL,14500,231
Modern Hairstyling Institute-Carolina,PR,1,NULL,12500,222
Modern Technology School,CA,0.9545,NULL,33700,131
Modern Welding School,NY,NULL,NULL,34400,88
Modesto Junior College,CA,NULL,7545,27200,16253
Mohave Community College,AZ,NULL,8018,26900,4044
Mohawk Valley Community College,NY,NULL,7224,30300,5153
Moler Barber College,CA,NULL,NULL,PrivacySuppressed,102
Moler Barber College,ND,NULL,NULL,PrivacySuppressed,12
Moler Hollywood Beauty Academy,OH,NULL,NULL,14300,89
Moler-Pickens Beauty Academy,OH,NULL,NULL,19200,78
Molloy College,NY,0.754,NULL,55900,3293
Monmouth College,IL,0.6906,NULL,39500,1281
Monmouth County Vocational School District,NJ,NULL,17725,32900,60
Monmouth University,NJ,0.7419,NULL,49700,4584
Monongalia County Technical Education Center,WV,0.7073,4320,28100,81
Monroe 2 Orleans BOCES-Center for Workforce Development,NY,NULL,4216,NULL,104
Monroe College,NY,0.4027,NULL,27400,6181
Monroe Community College,NY,NULL,7341,31500,13982
Monroe County Community College,MI,NULL,4393,27200,2083
Montage Academy,CO,NULL,NULL,NULL,52
Montana Academy of Salons,MT,NULL,NULL,NULL,87
Montana State University,MT,0.8385,16600,39600,13117
Montana State University-Billings,MT,NULL,13054,33400,4071
Montana State University-Northern,MT,1,13636,33400,1125
Montana Tech of the University of Montana,MT,0.9075,11826,40600,1868
Montcalm Community College,MI,NULL,15754,25800,1496
Montclair State University,NJ,0.6683,21685,48300,15676
Monteclaro Escuela de Hoteleria y Artes Culinarias,PR,0.3077,NULL,PrivacySuppressed,4
Monterey Peninsula College,CA,NULL,7753,32900,7067
Montessori Casa International,CO,NULL,NULL,NULL,15
Montessori Education Center of the Rockies,CO,1,NULL,PrivacySuppressed,14
Montessori Education Institute of the Pacific Northwest,WA,NULL,NULL,NULL,9
Montessori Institute of Milwaukee,WI,NULL,NULL,NULL,NULL
Montgomery Beauty School,MD,NULL,NULL,17700,118
Montgomery College,MD,NULL,8381,40700,18672
Montgomery Community College,NC,NULL,6680,25400,604
Montgomery County Community College,PA,NULL,8707,35800,10968
Montpelier Center - Closed July 2013,VT,NULL,NULL,39600,NULL
Montreat College,NC,0.4606,NULL,38800,647
Montserrat College of Art,MA,NULL,NULL,31500,380
Monty Tech,MA,0.9434,11794,PrivacySuppressed,44
Moody Bible Institute,IL,0.7207,NULL,NULL,3139
Moody Bible Institute-Spokane,WA,NULL,NULL,NULL,NULL
Moody Theological Seminary and Graduate School--Michigan,MI,NULL,NULL,NULL,NULL
Moore Career College,LA,NULL,NULL,PrivacySuppressed,58
Moore College of Art and Design,PA,0.5862,NULL,32400,412
Moore Norman Technology Center,OK,0.6389,1767,25000,428
Moorpark College,CA,NULL,2636,36200,13180
Moraine Park Technical College,WI,NULL,9976,32600,3143
Moraine Valley Community College,IL,NULL,5271,31600,11460
Moravian College,PA,0.862,NULL,48600,1564
More Tech Institute,FL,NULL,NULL,NULL,67
Morehead State University,KY,0.8443,10830,30900,7212
Morehouse College,GA,0.8403,NULL,41600,2106
Morehouse School of Medicine,GA,NULL,NULL,PrivacySuppressed,NULL
Moreno Valley College,CA,NULL,6382,NULL,7372
Morgan Community College,CO,NULL,9160,28000,800
Morgan State University,MD,0.6525,15926,38600,6239
Morgantown Beauty College Inc,WV,NULL,NULL,PrivacySuppressed,67
Morningside College,IA,0.5682,NULL,40000,1293
Morris College,SC,NULL,NULL,22900,780
Morris County Vocational School District,NJ,0.7941,13089,PrivacySuppressed,50
Morrison Institute of Technology,IL,NULL,NULL,43900,85
Morrisville State College,NY,0.5619,15904,31500,2728
Morthland College,IL,0.6667,NULL,NULL,63
Morton College,IL,NULL,3746,30500,2747
Motlow College,TN,NULL,7935,27600,3822
Motoring Technical Training Institute,MA,0.7756,NULL,28800,314
MotoRing Technical Training Institute,RI,0.8889,NULL,28800,14
Mott Community College,MI,NULL,6771,24600,7818
Moultrie Technical College,GA,NULL,2814,21200,1307
Mount Aloysius College,PA,0.7398,NULL,37100,1565
Mount Angel Seminary,OR,NULL,NULL,PrivacySuppressed,61
Mount Carmel College of Nursing,OH,0.7389,NULL,55500,926
Mount Carmel College of Nursing - Fairfield,OH,NULL,NULL,NULL,NULL
Mount Holyoke College,MA,0.547,NULL,44100,2161
Mount Ida College,MA,0.6849,NULL,34600,1290
Mount Marty College,SD,0.7236,NULL,32300,634
Mount Mary University,WI,0.3527,NULL,38800,716
Mount Mercy University,IA,0.5683,NULL,42800,1417
Mount Saint Joseph University,OH,0.8762,NULL,40800,1463
Mount Saint Mary College,NY,0.8862,NULL,46800,2096
Mount Saint Mary's University,CA,0.783,NULL,50500,2659
Mount Saint Mary's University - Doheny Campus,CA,NULL,NULL,50500,NULL
Mount St Mary's University,MD,0.6687,NULL,49900,1806
Mount Vernon Nazarene University,OH,0.7598,NULL,39500,1706
Mount Wachusett Community College,MA,NULL,7920,29800,3924
Mount Washington College,NH,NULL,NULL,30400,1504
Mountain Empire Community College,VA,NULL,4593,22000,1721
Mountain State College,WV,NULL,NULL,14900,158
Mountain State School of Massage,WV,NULL,NULL,PrivacySuppressed,26
Mountain View College,TX,NULL,4709,31400,7300
Mountainland Applied Technology College,UT,NULL,NULL,PrivacySuppressed,1056
Mountwest Community and Technical College,WV,NULL,6518,PrivacySuppressed,1702
Mr Bela's School of Cosmetology Inc,MI,NULL,NULL,13100,74
Mr John's School of Cosmetology & Nails-Jacksonville,IL,NULL,NULL,PrivacySuppressed,35
Mr John's School of Cosmetology Esthetics & Nails-Decatur,IL,NULL,NULL,15000,66
Mr Leon's School of Hair Design-Lewiston,ID,NULL,NULL,PrivacySuppressed,27
Mr Leon's School of Hair Design-Moscow,ID,NULL,NULL,PrivacySuppressed,16
Mr Wayne's School of Unisex Hair Design,TN,NULL,NULL,PrivacySuppressed,44
Mt Hood Community College,OR,NULL,10067,32700,8536
Mt San Antonio College,CA,NULL,3000,33500,26463
Mt San Jacinto Community College District,CA,NULL,5926,25500,13695
Mt Sierra College,CA,NULL,NULL,42500,465
Mt. Diablo Adult Education-Mt. Diablo USD,CA,NULL,16718,29700,129
MTI Business College Inc,CA,NULL,NULL,23000,146
MTI College,CA,0.8745,NULL,33000,1020
Mueller College,CA,NULL,NULL,PrivacySuppressed,107
Muhlenberg College,PA,0.528,NULL,56300,2332
Multnomah University,OR,0.5667,NULL,29400,418
Murray State College,OK,NULL,7912,28600,1838
Murray State University,KY,0.7996,9817,35300,8126
Musicians Institute,CA,0.945,NULL,25700,1065
Muskegon Community College,MI,NULL,4929,26200,3974
Muskingum University,OH,0.7644,NULL,38100,1598
My Le's Beauty College,CA,NULL,NULL,12300,144
My Le's Beauty College,LA,NULL,NULL,NULL,35
MyComputerCareer.com-Columbus,OH,NULL,NULL,NULL,249
MyComputerCareer.com-Indianapolis,IN,NULL,NULL,NULL,219
MyComputerCareer.com-Raleigh,NC,NULL,NULL,NULL,353
Myotherapy College of Utah,UT,NULL,NULL,20800,84
Myotherapy Institute,NE,NULL,NULL,PrivacySuppressed,15
MyrAngel Beauty Institute,PR,NULL,NULL,PrivacySuppressed,108
Napa Valley College,CA,NULL,9450,35500,5752
Naropa University,CO,0.7006,NULL,23600,434
NASCAR Technical Institute,NC,NULL,NULL,43500,1499
Nash Community College,NC,NULL,6950,26000,2823
Nashotah House,WI,NULL,NULL,NULL,NULL
Nashua Community College,NH,NULL,13988,35200,1951
Nashville Barber and Style Academy,TN,NULL,NULL,NULL,37
Nashville College of Medical Careers,TN,NULL,NULL,22800,141
Nashville State Community College,TN,NULL,8246,30800,8309
Nassau Community College,NY,NULL,8070,36600,20218
National Academy of Beauty Arts-Farmington,MO,NULL,NULL,PrivacySuppressed,47
National Academy of Beauty Arts-St Louis,MO,NULL,NULL,18000,115
National American University-Albuquerque,NM,NULL,NULL,36100,352
National American University-Albuquerque West,NM,NULL,NULL,36100,295
National American University-Austin,TX,NULL,NULL,36100,207
National American University-Austin South,TX,NULL,NULL,NULL,121
National American University-Bellevue,NE,NULL,NULL,36100,189
National American University-Bloomington,MN,NULL,NULL,36100,422
National American University-Brooklyn Center,MN,NULL,NULL,36100,511
National American University-Burnsville,MN,NULL,NULL,36100,182
National American University-Centennial,CO,NULL,NULL,36100,108
National American University-Colorado Springs,CO,NULL,NULL,36100,253
National American University-Colorado Springs South,CO,NULL,NULL,36100,233
National American University-Denver,CO,NULL,NULL,36100,218
National American University-Ellsworth AFB Extension,SD,NULL,NULL,36100,263
National American University-Georgetown,TX,NULL,NULL,NULL,212
National American University-Harold D. Buckingham Graduate School,TX,NULL,NULL,NULL,NULL
National American University-Houston,TX,NULL,NULL,NULL,253
National American University-Independence,MO,NULL,NULL,36100,583
National American University-Indianapolis,IN,NULL,NULL,NULL,199
National American University-Lee's Summit,MO,NULL,NULL,36100,309
National American University-Lewisville,TX,NULL,NULL,NULL,213
National American University-Mesquite,TX,NULL,NULL,36100,203
National American University-Overland Park,KS,NULL,NULL,36100,382
National American University-Rapid City,SD,NULL,NULL,36100,1474
National American University-Richardson,TX,NULL,NULL,NULL,242
National American University-Rochester,MN,NULL,NULL,NULL,155
National American University-Roseville,MN,NULL,NULL,36100,264
National American University-Sioux Falls,SD,NULL,NULL,36100,594
National American University-Tigard,OR,NULL,NULL,NULL,64
National American University-Tulsa,OK,NULL,NULL,36100,228
National American University-Weldon Spring,MO,NULL,NULL,NULL,75
National American University-Wichita,KS,NULL,NULL,36100,259
National American University-Wichita West,KS,NULL,NULL,NULL,296
National American University-Zona Rosa,MO,NULL,NULL,36100,382
National Aviation Academy of New England,MA,NULL,NULL,50500,218
National Aviation Academy of Tampa Bay,FL,NULL,NULL,45000,605
National Beauty College,OH,NULL,NULL,PrivacySuppressed,46
National Beauty College,TX,NULL,NULL,16600,45
National Beauty College,CO,NULL,NULL,NULL,51
National Career College,CA,NULL,NULL,NULL,147
National Career Education,CA,NULL,NULL,34200,141
National Career Institute,NJ,NULL,NULL,NULL,291
National Career Institute - Jersey City Branch,NJ,NULL,NULL,NULL,NULL
National College of Natural Medicine,OR,NULL,NULL,NULL,NULL
National College-Nashville,TN,NULL,NULL,23000,512
National College-Stow,OH,NULL,NULL,23000,80
National College-Willoughby Hills,OH,NULL,NULL,23000,48
National Conservatory of Dramatic Arts,DC,1,NULL,PrivacySuppressed,39
National Graduate School of Quality Management,MA,NULL,NULL,NULL,109
National Holistic Institute,CA,NULL,NULL,29600,900
National Institute of Massotherapy,OH,NULL,NULL,PrivacySuppressed,45
National Latino Education Institute,IL,0.68,NULL,28300,95
National Louis University,IL,0.9744,NULL,42100,1307
National Massage Therapy Institute,PA,NULL,NULL,PrivacySuppressed,138
National Paralegal College,AZ,NULL,NULL,NULL,1042
National Park Community College,AR,NULL,8575,25700,2269
National Personal Training Institute,VA,NULL,NULL,NULL,136
National Personal Training Institute of Cleveland,OH,NULL,NULL,NULL,NULL
National Personal Training Institute of Colorado,CO,NULL,NULL,NULL,97
National Personal Training Institute of Colorado,CO,NULL,NULL,NULL,48
National Personal Training Institute of Columbus,OH,NULL,NULL,NULL,79
National Polytechnic College,CA,NULL,NULL,PrivacySuppressed,198
National Tractor Trailer School Inc-Buffalo,NY,NULL,NULL,34600,130
National Tractor Trailer School Inc-Liverpool,NY,NULL,NULL,34600,146
National University,CA,NULL,NULL,56200,9425
National University College-Arecibo,PR,0.7656,NULL,16800,1450
National University College-Bayamon,PR,0.8981,NULL,16800,4983
National University College-Caguas,PR,0.8421,NULL,16800,1032
National University College-Ponce,PR,0.9246,NULL,16800,1240
National University College-Rio Grande,PR,0.9832,NULL,16800,1783
National University of Health Sciences,IL,NULL,NULL,38800,67
Nationwide Beauty Academy,OH,NULL,NULL,19200,82
Naugatuck Valley Community College,CT,NULL,6802,34100,6443
Navajo Technical University,NM,NULL,3821,18800,2031
Navarro College,TX,NULL,9335,31200,9999
Nazarene Bible College,CO,NULL,NULL,30700,758
Nazarene Theological Seminary,MO,NULL,NULL,NULL,NULL
Nazareth College,NY,0.7049,NULL,44200,2017
Nebraska Christian College,NE,NULL,NULL,23700,134
Nebraska College of Technical Agriculture,NE,NULL,11759,43500,242
Nebraska Indian Community College,NE,NULL,9781,16400,115
Nebraska Methodist College of Nursing & Allied Health,NE,0.8261,NULL,46600,742
Nebraska Wesleyan University,NE,0.7814,NULL,44600,1803
NeeCee's College of Cosmetology,TX,NULL,NULL,NULL,21
Neighborhood Playhouse School of the Theater,NY,0.6429,NULL,PrivacySuppressed,80
Neilson Beauty College,TX,NULL,NULL,14700,48
Neosho Beauty College,MO,NULL,NULL,11200,38
Neosho County Community College,KS,NULL,7827,31700,1323
Ner Israel Rabbinical College,MD,0.7794,NULL,PrivacySuppressed,305
Networks Barber College,IL,NULL,NULL,NULL,21
Neumann University,PA,0.9404,NULL,39500,2464
Neumont University,UT,0.8367,NULL,25300,431
Nevada Career Institute,NV,1,NULL,28300,283
Nevada Regional Technical Center,MO,0.7,3950,PrivacySuppressed,16
Nevada State College,NV,0.5459,12653,PrivacySuppressed,3254
New Age Training,NY,NULL,NULL,PrivacySuppressed,136
New Beginning College of Cosmetology,AL,NULL,NULL,NULL,115
New Brunswick Theological Seminary,NJ,NULL,NULL,NULL,NULL
New Castle Beauty Academy,PA,NULL,NULL,14700,39
New Castle School of Trades,PA,1,NULL,32200,825
New Castle School of Trades,PA,NULL,NULL,32200,NULL
New College of Florida,FL,0.5987,9552,PrivacySuppressed,834
New Concept Massage and Beauty School,FL,NULL,NULL,13800,29
New Concepts School of Cosmetology,TN,NULL,NULL,PrivacySuppressed,101
New Dimensions Beauty Academy Inc,CO,NULL,NULL,NULL,57
New Dimensions School of Hair Design,MO,NULL,NULL,PrivacySuppressed,63
New England Center,VT,NULL,NULL,39600,NULL
New England College,NH,0.9573,NULL,33000,1700
New England College of Business and Finance,MA,NULL,NULL,NULL,690
New England College of Optometry,MA,NULL,NULL,85100,NULL
New England Culinary Institute,VT,NULL,NULL,33600,384
New England Hair Academy,MA,NULL,NULL,PrivacySuppressed,132
New England Institute of Technology,RI,NULL,NULL,38500,2841
New England Law-Boston,MA,NULL,NULL,64500,NULL
New England School of Acupuncture,MA,NULL,NULL,NULL,NULL
New England School of Communications,ME,NULL,NULL,27400,334
New England School of Hair Design,NH,NULL,NULL,19000,41
New England School of Photography,MA,0.9405,NULL,30200,65
New England Tractor Trailer Training School of Connecticut,CT,NULL,NULL,37400,310
New England Tractor Trailer Training School of CT-Bridgeport,CT,NULL,NULL,NULL,193
New England Tractor Trailer Training School of Massachusetts,MA,NULL,NULL,PrivacySuppressed,300
New England Tractor Trailer Training School of Rhode Island,RI,NULL,NULL,PrivacySuppressed,135
New Hampshire Institute for Therapeutic Arts,NH,NULL,NULL,PrivacySuppressed,37
New Hampshire Institute for Therapeutic Arts,ME,NULL,NULL,PrivacySuppressed,NULL
New Hampshire Institute of Art,NH,NULL,NULL,PrivacySuppressed,442
New Hope Christian College-Eugene,OR,0.6739,NULL,26400,162
New Horizons Medical Institute,GA,NULL,NULL,NULL,358
New Horizons Medical Institute-Winder,GA,NULL,NULL,NULL,206
New Jersey City University,NJ,0.7659,8001,41800,6163
New Jersey Institute of Technology,NJ,0.6339,18205,64500,6748
New Life Business Institute,NY,NULL,NULL,NULL,86
New Mexico Highlands University,NM,NULL,6621,35200,2140
New Mexico Institute of Mining and Technology,NM,0.3639,11451,54300,1525
New Mexico Junior College,NM,NULL,6500,29600,1885
New Mexico Military Institute,NM,0.3989,5181,38800,459
New Mexico State University-Alamogordo,NM,NULL,3772,32800,1073
New Mexico State University-Carlsbad,NM,NULL,3581,32800,742
New Mexico State University-Dona Ana,NM,NULL,4832,32800,6212
New Mexico State University-Grants,NM,NULL,3613,32800,403
New Mexico State University-Main Campus,NM,0.696,9531,32800,12171
New Professions Technical Institute,FL,NULL,NULL,18700,56
New River Community and Technical College,WV,NULL,4592,PrivacySuppressed,1729
New River Community College,VA,NULL,6268,30100,2824
New School of Radio and Television,NY,NULL,NULL,30600,65
New Tyler Barber College Inc,AR,NULL,NULL,13400,67
New York Academy of Art,NY,NULL,NULL,NULL,NULL
New York Automotive and Diesel Institute,NY,NULL,NULL,36300,346
New York Career Institute,NY,NULL,NULL,34200,518
New York Chiropractic College,NY,NULL,NULL,PrivacySuppressed,NULL
New York College of Health Professions,NY,1,NULL,26500,516
New York College of Podiatric Medicine,NY,NULL,NULL,62600,NULL
New York College of Traditional Chinese Medicine,NY,NULL,NULL,PrivacySuppressed,78
New York Conservatory for Dramatic Arts,NY,0.7351,NULL,31200,237
New York Film Academy,CA,NULL,NULL,NULL,1453
New York Institute of Beauty,NY,NULL,NULL,NULL,112
New York Institute of Massage Inc,NY,NULL,NULL,21600,53
New York Institute of Technology,NY,0.6403,NULL,50300,4160
New York Law School,NY,NULL,NULL,85900,NULL
New York Medical Career Training Center,NY,NULL,NULL,NULL,284
New York Medical College,NY,NULL,NULL,PrivacySuppressed,NULL
New York Methodist Hospital Center for Allied Health Education,NY,NULL,NULL,NULL,227
New York School for Medical and Dental Assistants,NY,NULL,NULL,31500,264
New York School of Esthetics & Day Spa,NY,NULL,NULL,NULL,77
New York School of Interior Design,NY,0.4551,NULL,36500,353
New York Theological Seminary,NY,NULL,NULL,NULL,NULL
New York University,NY,0.3545,NULL,58800,24539
Newberry College,SC,0.5675,NULL,30300,1076
Newberry School of Beauty,CA,NULL,NULL,18500,122
Newbury College,MA,0.7026,NULL,35800,871
Newman University,KS,0.5281,NULL,42300,1182
Newport School of Hairdressing-Main Campus,RI,NULL,NULL,13900,39
Newschool of Architecture and Design,CA,0.98,NULL,43400,360
NHTI-Concord's Community College,NH,NULL,17162,38000,3822
Niagara County Community College,NY,NULL,6154,31300,5118
Niagara University,NY,0.6586,NULL,40900,3130
Nicholls State University,LA,0.8837,10195,35000,5513
Nichols College,MA,0.7628,NULL,48400,1312
Nicolet Area Technical College,WI,NULL,8488,28300,1047
Nightingale College,UT,NULL,NULL,PrivacySuppressed,156
Niles School of Cosmetology,IL,NULL,NULL,16600,53
Norco College,CA,NULL,5894,NULL,7867
Norfolk State University,VA,0.6567,11920,33100,5284
Normandale Community College,MN,NULL,14146,37200,7793
North Adrian's College of Beauty Inc,CA,NULL,NULL,16900,280
North American Trade Schools,MD,NULL,NULL,33200,558
North American University,TX,NULL,NULL,NULL,419
North Arkansas College,AR,NULL,3785,24600,1662
North Bennet Street School,MA,NULL,NULL,32700,154
North Carolina A & T State University,NC,0.57,10573,33000,8894
North Carolina Central University,NC,0.4322,10464,31600,5554
North Carolina State University at Raleigh,NC,0.516,14811,47600,22925
North Carolina Wesleyan College,NC,0.5326,NULL,36200,1864
North Central College,IL,0.5984,NULL,45400,2685
North Central Institute,TN,NULL,NULL,PrivacySuppressed,102
North Central Kansas Technical College,KS,NULL,10933,36100,482
North Central Michigan College,MI,NULL,2210,24400,2299
North Central Missouri College,MO,NULL,7055,27100,1182
North Central State College,OH,NULL,5488,26600,2242
North Central Texas College,TX,NULL,5723,32700,9873
North Central University,MN,0.912,NULL,31800,928
North Country Community College,NY,NULL,9092,26500,1042
North Dakota State College of Science,ND,NULL,10573,41300,2067
North Dakota State University-Main Campus,ND,0.8274,15069,46700,11763
North Florida Academy,FL,NULL,NULL,NULL,31
North Florida Community College,FL,NULL,4478,26300,866
North Florida Cosmetology Institute Inc,FL,NULL,NULL,PrivacySuppressed,139
North Georgia Technical College,GA,NULL,3343,20600,2497
North Greenville University,SC,0.5946,NULL,29600,2183
North Hennepin Community College,MN,NULL,16328,37200,6327
North Idaho College,ID,NULL,7945,29600,4749
North Iowa Area Community College,IA,NULL,8045,31600,1930
North Lake College,TX,NULL,4655,34100,8872
North Park University,IL,0.5461,NULL,42500,2181
North Seattle College,WA,NULL,4604,37900,2983
North Shore Community College,MA,NULL,8150,30400,6707
North West Beauty School,TX,NULL,NULL,PrivacySuppressed,40
North-West College-Glendale,CA,1,NULL,27000,187
North-West College-Long Beach,CA,1,NULL,NULL,191
North-West College-Pasadena,CA,1,NULL,23900,221
North-West College-Pomona,CA,1,NULL,20400,268
North-West College-Riverside,CA,1,NULL,20400,442
North-West College-Santa Ana,CA,1,NULL,NULL,98
North-West College-West Covina,CA,1,NULL,27000,559
Northampton County Area Community College,PA,NULL,6043,32100,9963
Northampton County Area Community College-Monroe,PA,NULL,NULL,32100,NULL
Northcentral Technical College,WI,NULL,9881,34500,3699
Northcentral University,AZ,NULL,NULL,PrivacySuppressed,208
Northcoast Medical Training Academy,OH,NULL,NULL,PrivacySuppressed,136
Northeast Alabama Community College,AL,NULL,3049,28300,2225
Northeast Catholic College,NH,1,NULL,NULL,61
Northeast Community College,NE,NULL,8097,33200,2726
Northeast Iowa Community College,IA,NULL,11024,30600,2677
Northeast Mississippi Community College,MS,NULL,5887,28300,3257
Northeast Ohio Medical University,OH,NULL,NULL,PrivacySuppressed,NULL
Northeast State Community College,TN,NULL,6538,26100,4988
Northeast Technical Institute,ME,NULL,NULL,NULL,453
Northeast Technology Center-Afton,OK,NULL,5990,23800,130
Northeast Technology Center-Claremore,OK,NULL,8406,23800,64
Northeast Technology Center-Kansas,OK,NULL,7903,23800,204
Northeast Technology Center-Pryor,OK,NULL,NULL,23800,120
Northeast Texas Community College,TX,NULL,6760,28100,2388
Northeast Wisconsin Technical College,WI,NULL,9715,34500,6613
Northeastern Hospital School of Nursing,PA,NULL,NULL,65500,70
Northeastern Illinois University,IL,0.5761,16619,36300,8284
Northeastern Junior College,CO,NULL,11557,31800,1317
Northeastern Oklahoma A&M College,OK,NULL,7482,28000,2021
Northeastern Seminary,NY,NULL,NULL,NULL,NULL
Northeastern State University,OK,0.7501,7424,34800,6914
Northeastern Technical College,SC,NULL,9314,23000,1000
Northeastern University,MA,0.3222,NULL,61700,13492
Northeastern University Global Network,MA,NULL,NULL,NULL,1976
Northern Arizona University,AZ,0.8099,13683,39100,23189
