INSTNM,STABBR,ADM_RATE,NPT4_PUB,MD_EARN_WNE_P10,UGDS
Alvareitas College of Cosmetology-Godfrey,IL,NULL,NULL,PrivacySuppressed,50
Alvernia University,PA,0.7479,NULL,41900,2272
Alverno College,WI,0.6519,NULL,37100,1689
Alvin Community College,TX,NULL,6499,34500,4682
Amarillo College,TX,NULL,6069,31700,9346
Ambiance Beauty & Barber Academy Inc,FL,NULL,NULL,NULL,39
Ambria College of Nursing,IL,NULL,NULL,NULL,397
American Academy McAllister Institute of Funeral Service,NY,NULL,NULL,34200,424
American Academy of Acupuncture and Oriental Medicine,MN,NULL,NULL,NULL,NULL
American Academy of Art,IL,NULL,NULL,25400,365
American Academy of Cosmetology,FL,NULL,NULL,NULL,117
American Academy of Dramatic Arts-Los Angeles,CA,0.2016,NULL,27800,280
American Academy of Dramatic Arts-New York,NY,0.6341,NULL,27800,253
American Academy of Personal Training,NY,NULL,NULL,NULL,187
American Advanced Technicians Institute,FL,NULL,NULL,PrivacySuppressed,124
American Baptist College,TN,NULL,NULL,PrivacySuppressed,157
American Baptist Seminary of the West,CA,NULL,NULL,NULL,NULL
American Beauty Academy,MD,NULL,NULL,16300,1037
American Beauty Academy,UT,NULL,NULL,NULL,37
American Beauty College,CA,NULL,NULL,PrivacySuppressed,97
American Beauty School,NY,NULL,NULL,PrivacySuppressed,201
American Broadcasting School-Arlington,TX,NULL,NULL,27300,23
American Broadcasting School-Oklahoma City,OK,NULL,NULL,27300,23
American Broadcasting School-Online Program,OK,NULL,NULL,27300,71
American Business and Technology University,MO,NULL,NULL,NULL,573
American Career College-Anaheim,CA,NULL,NULL,29500,1415
American Career College-Long Beach,CA,NULL,NULL,NULL,516
American Career College-Los Angeles,CA,NULL,NULL,29500,1613
American Career College-Lynwood,CA,NULL,NULL,44800,202
American Career College-Ontario,CA,NULL,NULL,PrivacySuppressed,1483
American College for Medical Careers,FL,NULL,NULL,28900,377
American College of Acupuncture and Oriental Med,TX,NULL,NULL,PrivacySuppressed,NULL
American College of Hair Design Inc,MO,NULL,NULL,PrivacySuppressed,29
American College of Hairstyling-Cedar Rapids,IA,NULL,NULL,PrivacySuppressed,8
American College of Hairstyling-Des Moines,IA,NULL,NULL,PrivacySuppressed,20
American College of Healthcare,CA,NULL,NULL,PrivacySuppressed,240
American College of Healthcare,CA,NULL,NULL,NULL,104
American College of Healthcare Sciences,OR,0.9437,NULL,NULL,423
American College of Traditional Chinese Medicine,CA,NULL,NULL,NULL,NULL
American Conservatory Theater,CA,NULL,NULL,PrivacySuppressed,0
American Educational College,PR,NULL,NULL,15000,669
American Film Institute Conservatory,CA,NULL,NULL,NULL,NULL
American Hair Academy,IA,NULL,NULL,PrivacySuppressed,27
American Health Institute,FL,NULL,NULL,NULL,73
American Indian College Inc,AZ,NULL,NULL,PrivacySuppressed,89
American Indian OIC Inc,MN,NULL,NULL,PrivacySuppressed,99
American Institute,NJ,NULL,NULL,25700,NULL
American Institute of Alternative Medicine,OH,0.8169,NULL,23300,337
