name,city,state,adm_rate,pd1,pd3,pd4,pd5,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,pd19,pd22,pd23,pd24,pd25,pd26,pd27,pd29,pd30,pd31,pd38,pd39,pd40,pd41,pd42,pd43,pd44,pd45,pd46,pd47,pd48,pd49,pd50,pd51,pd52,pd54,pop,debt,earnings
American Academy of Dramatic Arts-New York,New York,NY,0.6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253,12000,27800
American Institute of Alternative Medicine,Columbus,OH,0.8169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,337,18688,23300
American International College,Springfield,MA,0.6757,0,0,0,0,0.0592,0,0,0,0,0,0,0,0,0,0.0093,0.0685,0,0.0093,0,0,0.0187,0.0218,0,0,0,0,0.0312,0.1215,0.0031,0.0748,0,0,0,0,0,0.3832,0.1838,0.0156,1473,27000,38900
American Musical and Dramatic Academy,New York,NY,0.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1735,12000,26800
American University,Washington,DC,0.4584,0,0.013,0,0.013,0.0983,0.0096,0.0051,0,0.0062,0,0,0.0169,0,0.0237,0.0113,0.0028,0,0.0164,0.0096,0,0.0373,0,0.0119,0,0.004,0,0.0294,0.0181,0,0.4198,0,0,0,0,0.0548,0.0232,0.1588,0.0169,7094,24589,55900
American University of Health Sciences,Signal Hill,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,274,36398,39000
AmeriTech College-Draper,Draper,UT,0.5476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,464,24370,24700
AmeriTech College-Provo,Provo,UT,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9495,0,0,131,24370,24700
Amherst College,Amherst,MA,0.1384,0,0.019,0.0042,0.0613,0,0,0.0381,0,0,0,0,0.0634,0,0.0381,0.1015,0,0,0.1142,0.0233,0,0.0085,0,0.0233,0,0.0613,0,0.0719,0,0,0.2495,0,0,0,0,0.055,0,0,0.0677,1792,11706,56300
Anderson University,Anderson,IN,0.5491,0,0,0,0,0.0397,0,0.0185,0,0.1243,0,0,0.0106,0.0397,0,0.0159,0.0476,0,0.0317,0.0053,0,0.0159,0.0291,0.0106,0.0423,0.0079,0,0.0847,0.0265,0.0423,0.0265,0,0,0,0,0.0688,0.0794,0.209,0.0238,1831,27000,35600
