name,state,adm_rate,cost,earnings,pop,debt,ucflag
Florida State University,FL,0.5539,15827,44000,32432,20887,0
Fort Hays State University,KS,0.8789,11603,37600,11298,20220,0
Fort Lewis College,CO,0.9082,15254,34000,3609,19621.5,0
Fort Valley State University,GA,0.2419,15001,27900,2172,36250,0
Framingham State University,MA,0.6226,17801,45000,4329,23979,0
Francis Marion University,SC,0.5911,10563,33000,3249,31250,0
Frostburg State University,MD,0.5851,17755,43500,4765,22250,0
George Mason University,VA,0.6665,18738,57300,21678,20000,0
Georgia College and State University,GA,0.7624,16941,38900,5827,21500,0
Georgia Institute of Technology-Main Campus,GA,0.3338,10994,74500,13996,24250,0
Georgia Perimeter College,GA,0.5134,6236,32700,19025,12060,0
Georgia Southern University,GA,0.631,16552,39500,17232,22500,0
Georgia Southwestern State University,GA,0.6964,12472,35200,2415,21500,0
Georgia State University,GA,0.5944,15853,40800,24619,23090,0
Glenville State College,WV,0.4656,14667,29300,1378,26000,0
Gordon State College,GA,0.4839,11175,31100,3864,16807.5,0
Grambling State University,LA,0.4395,14656,28400,3520,37524,0
Grand River Technical School,MO,0.7662,3816,34600,90,PrivacySuppressed,0
Grand Valley State University,MI,0.8043,16815,39400,21561,25500,0
Greater Lowell Technical School,MA,0.5333,18291,51500,80,5500,0
Hannah E Mullins School of Practical Nursing,OH,0.6667,11423,33900,73,9500,0
Haskell Indian Nations University,KS,0.581,4221,22800,805,PrivacySuppressed,0
Henderson State University,AR,0.6278,9716,34500,3226,19586,0
Humboldt State University,CA,0.7655,13434,34200,7962,19553,0
Illinois State University,IL,0.7388,20052,45500,18056,22500,0
Indiana State University,IN,0.8254,11920,36000,10497,23713,0
Indiana University of Pennsylvania-Main Campus,PA,0.9473,18204,37400,12032,27000,0
Indiana University-Bloomington,IN,0.7609,14370,44700,32252,23000,0
Indiana University-East,IN,0.6376,9015,30000,3200,21172,0
Indiana University-Kokomo,IN,0.6726,9989,34100,2724,19052,0
Indiana University-Northwest,IN,0.7678,8951,36200,4370,27000,0
Indiana University-Purdue University-Fort Wayne,IN,0.9087,13638,35200,9314,25500,0
Indiana University-Purdue University-Indianapolis,IN,0.7049,13007,40200,21777,24147.5,0
Indiana University-South Bend,IN,0.7333,10377,33400,5398,25537,0
Indiana University-Southeast,IN,0.8032,10970,34000,5476,22500,0
Institute of American Indian and Alaska Native Culture,NM,1,9334,22000,235,PrivacySuppressed,0
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,PR,0.8674,1162,20300,662,NULL,0
Instituto Tecnologico de Puerto Rico-Recinto de Manati,PR,0.8537,3296,20300,713,NULL,0
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,PR,0.9825,-343,20300,601,NULL,0
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,PR,0.9582,47,20300,632,NULL,0
Iowa State University,IA,0.8691,14100,47800,28336,24365,0
Jackson State University,MS,0.7047,15432,29200,7160,29500,0
Jacksonville State University,AL,0.8326,17974,34600,7060,23000,0
James Madison University,VA,0.6573,18412,52600,18697,20500,0
Jefferson Lewis BOCES-Practical Nursing Program,NY,1,12437,32600,77,6500,0
Johnson State College,VT,0.9546,14669,31500,1363,26000,0
Kansas State University,KS,0.9493,16384,43300,19727,22236,0
Kean University,NJ,0.7036,16951,45500,11938,24500,0
Keene State College,NH,0.7859,19475,39500,4662,26000,0
Kennesaw State University,GA,0.5345,16392,40000,23058,22750,0
Kent State University at Kent,OH,0.8438,18703,36000,22530,25997,0
Kentucky State University,KY,0.4769,8593,28400,1627,30982,0
Kirksville Area Technical Center,MO,0.3182,9935,24500,34,PrivacySuppressed,0
Kutztown University of Pennsylvania,PA,0.7967,19723,41200,8516,26000,0
Lake Superior State University,MI,0.9109,11558,35200,2213,24454,0
Lamar University,TX,0.7881,14319,39500,9043,22486,0
Lander University,SC,0.5778,13203,33600,2670,27000,0
Lewis-Clark State College,ID,0.9904,12029,33300,3168,22250,0
Lincoln University,PA,0.2716,15146,33500,1576,31326.5,0
Lock Haven University,PA,0.9339,16651,38400,4448,27000,0
Longwood University,VA,0.7292,18457,39600,4400,24588.5,0
Louisiana State University and Agricultural & Mechanical College,LA,0.7663,11958,45800,24452,20000,0
Louisiana State University-Alexandria,LA,0.5455,10088,32200,2244,16021.5,0
Louisiana State University-Shreveport,LA,0.7667,7717,35800,2640,17250,0
Louisiana Tech University,LA,0.6503,9514,40700,7272,20500,0
Lyndon State College,VT,0.9914,14469,32800,1266,27000,0
Madison Oneida BOCES-Practical Nursing Program,NY,1,15319,31300,51,9500,0
Maine Maritime Academy,ME,0.7863,20861,78800,1031,27000,0
Mansfield University of Pennsylvania,PA,0.907,16122,37800,2518,27000,0
Marion Military Institute,AL,0.6139,10679,44500,433,11500,0
Marshall University,WV,0.7653,9149,33800,8871,22705,0
Massachusetts College of Art and Design,MA,0.7294,22594,34000,1781,26000,0
Massachusetts College of Liberal Arts,MA,0.7227,14884,34800,1517,25000,0
Massachusetts Maritime Academy,MA,0.616,15785,69000,1395,27000,0
McNeese State University,LA,0.7527,9370,36200,6597,20785,0
Metropolitan State University,MN,1,14270,44800,7280,17758,0
Metropolitan State University of Denver,CO,0.6511,10378,38400,20583,24620,0
Miami University-Oxford,OH,0.6584,23591,45500,15454,25000,0
Michigan State University,MI,0.6609,16382,49900,38395,25458,0
