X,Y,OBJECTID,Building_Code,School_Name,Type,Authorized_Grades,District,Charter_Authorizer,ESP_2013_2014,Street_Address,School_Type,Zip,Alternative_Flag,School_Label,SkillmanArea,SkillmanAreaAlt,TotalStudentsFall2013,SchoolType2,TotalStudentMiles,AvgStudentMiles
-83.274605959322656,42.399002944091478,54,02648,Murphy Elementary,K8,"KG,1,2,3,4,5,6,7,8",Michigan Educational Choice Center,Education Achievement System-EAS,Performance Academies,23901 Fenkell St,EAA Charter,48223,,Murphy Elementary,Brightmoor,Brightmoor,362,Charter,801.128616,2.213062
-83.261547802837839,42.430353315489363,55,08256,Nataki Talibah Schoolhouse of Detroit,K8,"KG-Part,1,2,3,4,5,6,7,8",Nataki Talibah Schoolhouse of Detroit,Central Michigan University,Nataki Talibah Schoolhouse,19176 Northrop St,Charter,48219,,Nataki Talibah Schoolhouse of Detroit,,,270,Charter,1077.170057,3.989519
-83.107116166468359,42.317146645176393,56,02669,Neinas Elementary School,K8,"KG,1,2,3,4,5",Detroit City School District,,,6021 Mcmillan St,DPS,48209,,Neinas Elementary School,Southwest Detroit Neighborhoods,Southwest,300,Detroit City District,429.369324,1.431231
-83.117205087978363,42.399285187104439,57,05675,New Paradigm Glazer Academy,K8,"KG,1,2,3,4,5,6,7,8",New Paradigm Glazer Academy,Detroit City School District,New Paradigm,2001 La Belle St,DPS Charter,48238,,New Paradigm Glazer Academy,Northend Central,Northend Central,185,Charter,276.073648,1.49229
-83.075386600252401,42.391748869494556,58,03725,New Paradigm Loving Academy,K8,"KG,1,2,3,4,5,6,7,8",New Paradigm Loving Academy,Detroit City School District,New Paradigm,1000 Lynn St,DPS Charter,48211,,New Paradigm Loving Academy,Northend Central,Northend Central,199,Charter,334.077249,1.67878
-82.997676157125866,42.36552463706488,59,02703,Nichols Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,3000 Burns St,DPS,48214,,Nichols Elementary-Middle School,,,282,Detroit City District,632.811912,2.244014
-83.155832460909465,42.381439187031951,60,06103,Noble Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,8646 Fullerton St,DPS,48238,,Noble Elementary-Middle School,,,621,Detroit City District,1284.058038,2.067726
-83.092239903883936,42.437389469802142,61,02708,Nolan Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Education Achievement System-EAS,,,1150 East Lantz St,EAA,48203,,Nolan Elementary-Middle School,,,431,EAA,660.27915,1.53197
-83.040647261264354,42.391124891770836,62,09314,Oakland International Academy - Elementary,K8,"KG,1,2,3",Oakland International Academy,Saginaw Valley State University,"Education Management and Networks, Inc.",4001 Miller St,Charter,48211,,Oakland International Academy - Elementary,,,158,Charter,216.345245,1.369274
-83.039828877547279,42.390792143026346,63,08743,Oakland International Academy - Intermediate,K8,"4,5",Oakland International Academy,Saginaw Valley State University,"Education Management and Networks, Inc.",6111 Miller St,Charter,48211,,Oakland International Academy - Intermediate,,,113,Charter,174.634467,1.545438
-83.259414925382615,42.416066532614138,64,08723,Old Redford Academy - Elementary and Middle,K8,"KG,1,2,3,4,5",Old Redford Academy,Central Michigan University,Innovative Teaching Solutions,17195 Redford St,Charter,48219,,Old Redford Academy - Elementary and Middle,,,833,Charter,3181.374767,3.823768
-83.138051381167315,42.427982557549143,65,01552,Palmer Park Preparatory Academy,K8,"KG-Part,1,2,3,4,5,6,7,8",Detroit City School District,,,3901 Margareta St,DPS,48221,,Palmer Park Preparatory Academy,,,544,Detroit City District,1098.550876,2.019395
-83.143358865723627,42.438375274743905,66,02969,Pasteur Elementary School,K8,"KG,1,2,3,4,5,6",Detroit City School District,,,19811 Stoepel St,DPS,48221,,Pasteur Elementary School,,,397,Detroit City District,907.014667,2.284672
-83.121928003819377,42.307272087312754,67,04554,Phoenix Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Education Achievement System-EAS,,,7735 Lane St,EAA,48209,,Phoenix Elementary-Middle School,Southwest Detroit Neighborhoods,Southwest,298,EAA,448.680589,1.50564
-83.048056191655448,42.360371519417107,68,08255,Plymouth Educational Center - K -8,K8,"KG,1,2,3,4,5,6,7,8",Plymouth Educational Center Charter School,Central Michigan University,Advanced Educational Services,1460 East Forest Ave,Charter,48207,,Plymouth Educational Center - K -8,,,806,Charter,4846.327504,6.020283
-83.143420327912253,42.336521490541699,69,03123,Priest Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,7840 Wagner St,DPS,48210,,Priest Elementary-Middle School,Chadsey/Condon,Chadsey/Condon,809,Detroit City District,764.852594,0.94543
-82.999395350337991,42.441118214103902,70,03130,Pulaski Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,19725 Strasburg St,DPS,48205,,Pulaski Elementary-Middle School,Osborn,Osborn,537,Detroit City District,811.607234,1.511373
-82.957531897535716,42.436091005031592,71,00762,Regent Park Scholars Charter Academy,K8,"KG,1,2,3,4,5,6,7,8",Regent Park Scholars Charter Academy,Lake Superior State University,National Heritage Academies,15865 East 7 Mile Road,Charter,48205,,Regent Park Scholars Charter Academy,,,611,Charter,1349.83455,2.209222
-83.127547295157555,42.414924399904145,72,07633,"Robeson Academy, Malcolm X Academy",K8,"1,2,3,4,5,6,7,8",Detroit City School District,,,2585 Grove Street,DPS,48221,,"Robeson Academy, Malcolm X Academy",,,413,Detroit City District,1245.155289,3.014904
-83.025970317768966,42.356474008487282,73,08669,Ross-Hill Academy-Elementary,K8,"KG,1,2,3,4,5,6,7,8",Ross-Hill Academy,Detroit City School District,777 Management Company,3111 Elmwood St,DPS Charter,48207,,Ross-Hill Academy-Elementary,,,128,Charter,519.243912,4.056593
-83.209791802432861,42.422583174699732,74,02701,Rutherford Winans Academy,K8,"KG,1,2,3,4,5",Rutherford Winans Academy,Detroit City School District,Solid Rock,16411 Curtis St,DPS Charter,48235,,Rutherford Winans Academy,,,248,Charter,405.564118,1.635339
-83.118473128690553,42.353482707838033,75,04413,Sampson Academy,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,4700 Tireman St,DPS,48204,,Sampson Academy,,,451,Detroit City District,833.481733,1.848075
-83.168142704152103,42.418629604950269,76,03420,Schulze Elementary-Middle School,K8,"KG,1,2,3,4,5,6,7,8",Detroit City School District,,,10700 Santa Maria St,DPS,48221,,Schulze Elementary-Middle School,,,736,Detroit City District,1376.823754,1.870684
-83.108634540849266,42.334938685011949,77,01851,Southwest Detroit Lighthouse Academy,K8,"KG,1,2,3,4,5,6,7,8",Southwest Detroit Lighthouse Charter Academy,Grand Valley State University,"Lighthouse Academies, Inc.",4001 29th Street,Charter,48210,,Southwest Detroit Lighthouse Academy,Chadsey/Condon,Chadsey/Condon,288,Charter,701.883391,2.437095
